ETITLE:      TS           BOND          ANGLE          DIHED          IMPRP               ELECT            VDW       BOUNDARY           MISC        KINETIC               TOTAL           TEMP      POTENTIAL         TOTAL3        TEMPAVG            PRESSURE      GPRESSURE         VOLUME       PRESSAVG      GPRESSAVG
ENERGY:  435000         0.0000         0.0000         0.0000         0.0000          -5562.6567       380.0696         0.0000         0.0000       923.0126          -4259.5745       293.2330     -5182.5871     -4256.9266       299.5809           -224.8762      -204.0267     22666.4655      -231.9604      -232.0059
ENERGY:  440000         0.0000         0.0000         0.0000         0.0000          -5669.9432       447.9856         0.0000         0.0000       918.1791          -4303.7785       291.6974     -5221.9575     -4301.0301       299.8227            396.0769       406.9598     22444.9634      -174.9440      -174.9405
ENERGY:  445000         0.0000         0.0000         0.0000         0.0000          -5641.8481       385.4128         0.0000         0.0000       943.4097          -4313.0256       299.7130     -5256.4354     -4312.3565       296.8448           -365.7497      -358.2901     22696.7611      -223.4346      -223.4504
ENERGY:  450000         0.0000         0.0000         0.0000         0.0000          -5647.2636       409.5158         0.0000         0.0000       965.2317          -4272.5161       306.6456     -5237.7478     -4270.2313       296.4390           -209.1188      -199.3276     22735.0044      -237.0066      -237.0943
ENERGY:  455000         0.0000         0.0000         0.0000         0.0000          -5640.8572       368.4735         0.0000         0.0000       955.8198          -4316.5639       303.6556     -5272.3837     -4315.5406       300.1900           -381.4698      -379.7213     22560.5104      -173.0004      -172.9476
ENERGY:  460000         0.0000         0.0000         0.0000         0.0000          -5632.9971       382.2125         0.0000         0.0000       973.8800          -4276.9047       309.3931     -5250.7847     -4274.8005       296.2549           -216.9984      -213.8036     22416.0060      -222.4519      -222.5474
ENERGY:  465000         0.0000         0.0000         0.0000         0.0000          -5641.2904       423.0904         0.0000         0.0000       946.0852          -4272.1148       300.5629     -5218.1999     -4269.0007       297.4769             51.1901        74.1662     22607.9147      -233.6195      -233.7788
ENERGY:  470000         0.0000         0.0000         0.0000         0.0000          -5576.4595       368.3552         0.0000         0.0000       913.7247          -4294.3797       290.2823     -5208.1044     -4292.7836       297.7606          -1018.6729     -1000.3123     22789.3310      -203.3762      -203.4187
ENERGY:  475000         0.0000         0.0000         0.0000         0.0000          -5555.0695       357.0464         0.0000         0.0000       949.9211          -4248.1020       301.7816     -5198.0231     -4247.2392       299.4981           -320.5163      -310.1883     22756.4729      -267.6452      -267.5870
ENERGY:  480000         0.0000         0.0000         0.0000         0.0000          -5533.7889       324.8488         0.0000         0.0000       960.0519          -4248.8883       305.0000     -5208.9401     -4246.6064       300.7745          -1144.2227     -1131.8099     22981.5915      -247.6058      -247.4839
ENERGY:  485000         0.0000         0.0000         0.0000         0.0000          -5627.1933       379.5196         0.0000         0.0000       976.7816          -4270.8920       310.3149     -5247.6736     -4268.6438       300.8189           -474.3634      -464.3290     22559.3837      -220.9191      -220.9246
ENERGY:  490000         0.0000         0.0000         0.0000         0.0000          -5535.9227       358.1984         0.0000         0.0000       928.7373          -4248.9870       295.0517     -5177.7243     -4246.0770       301.1166           -333.5205      -327.6452     22449.3903      -163.5550      -163.4736
ENERGY:  495000         0.0000         0.0000         0.0000         0.0000          -5631.4332       401.0999         0.0000         0.0000       952.7432          -4277.5901       302.6781     -5230.3333     -4274.9295       299.5921           -255.3014      -237.2490     22798.2514      -153.3810      -153.2140
ENERGY:  500000         0.0000         0.0000         0.0000         0.0000          -5570.8762       415.7296         0.0000         0.0000       979.0356          -4176.1110       311.0310     -5155.1466     -4174.2241       298.3576            375.2972       392.4084     22774.8499      -191.8082      -191.8538
